Tabla 1
,,,,
CÓDIGO AGRUPADOR DEL SAT.,,,,
"El código agrupador del SAT tiene el objetivo de que la información sea presentada de manera uniforme, para lo cual es necesario que los contribuyentes asocien las cuentas de su catálogo de cuentas al código agrupador por naturaleza y preponderancia de la cuenta.",,,,
Código agrupador del SAT.,,,,
,,,,
Nivel,Código,Nombre de la cuenta y/o subcuenta,,
1,160,Otros activos fijos,,
2,160.01,Otros activos fijos,,
1,161,Ferrocarriles,,
2,161.01,Ferrocarriles,,
1,162,Embarcaciones,,
2,162.01,Embarcaciones,,
1,163,Aviones,,
2,163.01,Aviones,,
1,164,"Troqueles, moldes, matrices y herramental",,
2,164.01,"Troqueles, moldes, matrices y herramental",,
1,165,Equipo de comunicaciones telefónicas,,
2,165.01,Equipo de comunicaciones telefónicas,,
1,166,Equipo de comunicación satelital,,
2,166.01,Equipo de comunicación satelital,,
1,167,Equipo de adaptaciones para personas con capacidades diferentes,,
2,167.01,Equipo de adaptaciones para personas con capacidades diferentes,,
1,168,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas decogeneración de electricidad eficiente,,
2,168.01,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas decogeneración de electricidad eficiente,,
1,169,Otra maquinaria y equipo,,
2,169.01,Otra maquinaria y equipo,,
,,,,
1,170,Adaptaciones y mejoras,,
2,170.01,Adaptaciones y mejoras,,
1,171,Depreciación acumulada de activos fijos,,
2,171.01,Depreciación acumulada de edificios,,
2,171.02,Depreciación acumulada de maquinaria y equipo,,
2,171.03,"Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones,montacargas y remolques",,
2,171.04,Depreciación acumulada de mobiliario y equipo de oficina,,
2,171.05,Depreciación acumulada de equipo de cómputo,,
2,171.06,Depreciación acumulada de equipo de comunicación,,
2,171.07,"Depreciación acumulada de activos biológicos, vegetales y semovientes",,
2,171.08,Depreciación acumulada de otros activos fijos,,
2,171.09,Depreciación acumulada de ferrocarriles,,
2,171.1,Depreciación acumulada de embarcaciones,,
2,171.11,Depreciación acumulada de aviones,,
2,171.12,"Depreciación acumulada de troqueles, moldes, matrices y herramental",,
2,171.13,Depreciación acumulada de equipo de comunicaciones telefónicas,,
2,171.14,Depreciación acumulada de equipo de comunicación satelital,,
2,171.15,Depreciación acumulada de equipo de adaptaciones para personas con capacidades diferentes,,
2,171.16,Depreciación acumulada de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente,,
2,171.17,Depreciación acumulada de adaptaciones y mejoras,,
2,171.18,Depreciación acumulada de otra maquinaria y equipo,,
1,172,Pérdida por deterioro acumulado de activos fijos,,
2,172.01,Pérdida por deterioro acumulado de edificios,,
2,172.02,Pérdida por deterioro acumulado de maquinaria y equipo,,
2,172.03,"Pérdida por deterioro acumulado de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques",,
2,172.04,Pérdida por deterioro acumulado de mobiliario y equipo de oficina,,
2,172.05,Pérdida por deterioro acumulado de equipo de cómputo,,
2,172.06,Pérdida por deterioro acumulado de equipo de comunicación,,
2,172.07,"Pérdida por deterioro acumulado de activos biológicos, vegetales y semovientes",,
2,172.08,Pérdida por deterioro acumulado de otros activos fijos,,
2,172.09,Pérdida por deterioro acumulado de ferrocarriles,,
2,172.1,Pérdida por deterioro acumulado de embarcaciones,,
2,172.11,Pérdida por deterioro acumulado de aviones,,
2,172.12,"Pérdida por deterioro acumulado de troqueles, moldes, matrices y herramental",,
2,172.13,Pérdida por deterioro acumulado de equipo de comunicaciones telefónicas,,
,,,,
2,172.14,Pérdida por deterioro acumulado de equipo de comunicación satelital,,
2,172.15,Pérdida por deterioro acumulado de equipo de adaptaciones para personas con capacidadesdiferentes,,
2,172.16,Pérdida por deterioro acumulado de maquinaria y equipo de generación de energía de fuentesrenovables o de sistemas de cogeneración de electricidad eficiente,,
2,172.17,Pérdida por deterioro acumulado de adaptaciones y mejoras,,
2,172.18,Pérdida por deterioro acumulado de otra maquinaria y equipo,,
1,173,Gastos diferidos,,
2,173.01,Gastos diferidos,,
1,174,Gastos pre operativos,,
2,174.01,Gastos pre operativos,,
1,175,"Regalías, asistencia técnica y otros gastos diferidos",,
2,175.01,"Regalías, asistencia técnica y otros gastos diferidos",,
1,176,Activos intangibles,,
2,176.01,Activos intangibles,,
1,177,Gastos de organización,,
2,177.01,Gastos de organización,,
1,178,Investigación y desarrollo de mercado,,
2,178.01,Investigación y desarrollo de mercado,,
1,179,Marcas y patentes,,
2,179.01,Marcas y patentes,,
1,180,Crédito mercantil,,
2,180.01,Crédito mercantil,,
1,181,Gastos de instalación,,
2,181.01,Gastos de instalación,,
1,182,Otros activos diferidos,,
2,182.01,Otros activos diferidos,,
1,183,Amortización acumulada de activos diferidos,,
2,183.01,Amortización acumulada de gastos diferidos,,
2,183.02,Amortización acumulada de gastos pre operativos,,
2,183.03,"Amortización acumulada de regalías, asistencia técnica y otros gastos diferidos",,
2,183.04,Amortización acumulada de activos intangibles,,
2,183.05,Amortización acumulada de gastos de organización,,
2,183.06,Amortización acumulada de investigación y desarrollo de mercado,,
2,183.07,Amortización acumulada de marcas y patentes,,
2,183.08,Amortización acumulada de crédito mercantil,,
2,183.09,Amortización acumulada de gastos de instalación,,
2,183.1,Amortización acumulada de otros activos diferidos,,
,,,,
1,184,Depósitos en garantía,,
2,184.01,Depósitos de fianzas,,
2,184.02,Depósitos de arrendamiento de bienes inmuebles,,
2,184.03,Otros depósitos en garantía,,
1,185,Impuestos diferidos,,
2,185.01,Impuestos diferidos ISR,,
1,186,Cuentas y documentos por cobrar a largo plazo,,
2,186.01,Cuentas y documentos por cobrar a largo plazo nacional,,
2,186.02,Cuentas y documentos por cobrar a largo plazo extranjero,,
2,186.03,Cuentas y documentos por cobrar a largo plazo nacional parte relacionada,,
2,186.04,Cuentas y documentos por cobrar a largo plazo extranjero parte relacionada,,
2,186.05,Intereses por cobrar a largo plazo nacional,,
2,186.06,Intereses por cobrar a largo plazo extranjero,,
2,186.07,Intereses por cobrar a largo plazo nacional parte relacionada,,
2,186.08,Intereses por cobrar a largo plazo extranjero parte relacionada,,
2,186.09,Otras cuentas y documentos por cobrar a largo plazo,,
2,186.1,Otras cuentas y documentos por cobrar a largo plazo parte relacionada,,
1,187,Participación de los trabajadores en las utilidades diferidas,,
2,187.01,Participación de los trabajadores en las utilidades diferidas,,
1,188,Inversiones permanentes en acciones,,
2,188.01,Inversiones a largo plazo en subsidiarias,,
2,188.02,Inversiones a largo plazo en asociadas,,
2,188.03,Otras inversiones permanentes en acciones,,
1,189,Estimación por deterioro de inversiones permanentes en acciones,,
2,189.01,Estimación por deterioro de inversiones permanentes en acciones,,
1,190,Otros instrumentos financieros,,
2,190.01,Otros instrumentos financieros,,
1,191,Otros activos a largo plazo,,
2,191.01,Otros activos a largo plazo,,
,200,Pasivo,,
,200.01,Pasivo a corto plazo,,
1,201,Proveedores,,
2,201.01,Proveedores nacionales,,
2,201.02,Proveedores extranjeros,,
2,201.03,Proveedores nacionales parte relacionada,,
2,201.04,Proveedores extranjeros parte relacionada,,
1,202,Cuentas por pagar a corto plazo,,
2,202.01,Documentos por pagar bancario y financiero nacional,,
,,,,
2,202.02,Documentos por pagar bancario y financiero extranjero,,
2,202.03,Documentos y cuentas por pagar a corto plazo nacional,,
2,202.04,Documentos y cuentas por pagar a corto plazo extranjero,,
2,202.05,Documentos y cuentas por pagar a corto plazo nacional parte relacionada,,
2,202.06,Documentos y cuentas por pagar a corto plazo extranjero parte relacionada,,
2,202.07,Intereses por pagar a corto plazo nacional,,
2,202.08,Intereses por pagar a corto plazo extranjero,,
2,202.09,Intereses por pagar a corto plazo nacional parte relacionada,,
2,202.1,Intereses por pagar a corto plazo extranjero parte relacionada,,
2,202.11,Dividendo por pagar nacional,,
2,202.12,Dividendo por pagar extranjero,,
1,203,Cobros anticipados a corto plazo,,
2,203.01,Rentas cobradas por anticipado a corto plazo nacional,,
2,203.02,Rentas cobradas por anticipado a corto plazo extranjero,,
2,203.03,Rentas cobradas por anticipado a corto plazo nacional parte relacionada,,
2,203.04,Rentas cobradas por anticipado a corto plazo extranjero parte relacionada,,
2,203.05,Intereses cobrados por anticipado a corto plazo nacional,,
2,203.06,Intereses cobrados por anticipado a corto plazo extranjero,,
2,203.07,Intereses cobrados por anticipado a corto plazo nacional parte relacionada,,
2,203.08,Intereses cobrados por anticipado a corto plazo extranjero parte relacionada,,
2,203.09,Factoraje financiero cobrados por anticipado a corto plazo nacional,,
2,203.1,Factoraje financiero cobrados por anticipado a corto plazo extranjero,,
2,203.11,Factoraje financiero cobrados por anticipado a corto plazo nacional parte relacionada,,
2,203.12,Factoraje financiero cobrados por anticipado a corto plazo extranjero parte relacionada,,
2,203.13,Arrendamiento financiero cobrados por anticipado a corto plazo nacional,,
2,203.14,Arrendamiento financiero cobrados por anticipado a corto plazo extranjero,,
2,203.15,Arrendamiento financiero cobrados por anticipado a corto plazo nacional parte relacionada,,
2,203.16,Arrendamiento financiero cobrados por anticipado a corto plazo extranjero parte relacionada,,
2,203.17,Derechos fiduciarios,,
2,203.18,Otros cobros anticipados,,
1,204,Instrumentos financieros a corto plazo,,
2,204.01,Instrumentos financieros a corto plazo,,
1,205,Acreedores diversos a corto plazo,,
2,205.01,"Socios, accionistas o representante legal",,
2,205.02,Acreedores diversos a corto plazo nacional,,
2,205.03,Acreedores diversos a corto plazo extranjero,,
2,205.04,Acreedores diversos a corto plazo nacional parte relacionada,,
2,205.05,Acreedores diversos a corto plazo extranjero parte relacionada,,
,,,,
2,205.06,Otros acreedores diversos a corto plazo,,
1,206,Anticipo de cliente,,
2,206.01,Anticipo de cliente nacional,,
2,206.02,Anticipo de cliente extranjero,,
2,206.03,Anticipo de cliente nacional parte relacionada,,
2,206.04,Anticipo de cliente extranjero parte relacionada,,
2,206.05,Otros anticipos de clientes,,
1,207,Impuestos trasladados,,
2,207.01,IVA trasladado,,
2,207.02,IEPS trasladado,,
1,208,Impuestos trasladados cobrados,,
2,208.01,IVA trasladado cobrado,,
2,208.02,IEPS trasladado cobrado,,
1,209,Impuestos trasladados no cobrados,,
2,209.01,IVA trasladado no cobrado,,
2,209.02,IEPS trasladado no cobrado,,
1,210,Provisión de sueldos y salarios por pagar,,
2,210.01,Provisión de sueldos y salarios por pagar,,
2,210.02,Provisión de vacaciones por pagar,,
2,210.03,Provisión de aguinaldo por pagar,,
2,210.04,Provisión de fondo de ahorro por pagar,,
2,210.05,Provisión de asimilados a salarios por pagar,,
2,210.06,Provisión de anticipos o remanentes por distribuir,,
2,210.07,Provisión de otros sueldos y salarios por pagar,,
1,211,Provisión de contribuciones de seguridad social por pagar,,
2,211.01,Provisión de IMSS patronal por pagar,,
2,211.02,Provisión de SAR por pagar,,
2,211.03,Provisión de infonavit por pagar,,
1,212,Provisión de impuesto estatal sobre nómina por pagar,,
2,212.01,Provisión de impuesto estatal sobre nómina por pagar,,
1,213,Impuestos y derechos por pagar,,
2,213.01,IVA por pagar,,
2,213.02,IEPS por pagar,,
2,213.03,ISR por pagar,,
2,213.04,Impuesto estatal sobre nómina por pagar,,
2,213.05,Impuesto estatal y municipal por pagar,,
2,213.06,Derechos por pagar,,
2,213.07,Otros impuestos por pagar,,
,,,,
1,214,Dividendos por pagar,,
2,214.01,Dividendos por pagar,,
1,215,PTU por pagar,,
2,215.01,PTU por pagar,,
2,215.02,PTU por pagar de ejercicios anteriores,,
2,215.03,Provisión de PTU por pagar,,
1,216,Impuestos retenidos,,
2,216.01,Impuestos retenidos de ISR por sueldos y salarios,,
2,216.02,Impuestos retenidos de ISR por asimilados a salarios,,
2,216.03,Impuestos retenidos de ISR por arrendamiento,,
2,216.04,Impuestos retenidos de ISR por servicios profesionales,,
2,216.05,Impuestos retenidos de ISR por dividendos,,
2,216.06,Impuestos retenidos de ISR por intereses,,
2,216.07,Impuestos retenidos de ISR por pagos al extranjero,,
2,216.08,Impuestos retenidos de ISR por venta de acciones,,
2,216.09,Impuestos retenidos de ISR por venta de partes sociales,,
2,216.1,Impuestos retenidos de IVA,,
2,216.11,Retenciones de IMSS a los trabajadores,,
2,216.12,Otras impuestos retenidos,,
1,217,Pagos realizados por cuenta de terceros,,
2,217.01,Pagos realizados por cuenta de terceros,,
1,218,Otros pasivos a corto plazo,,
2,218.01,Otros pasivos a corto plazo,,
,200.02,Pasivo a largo plazo,,
1,251,Acreedores diversos a largo plazo,,
2,251.01,"Socios, accionistas o representante legal",,
2,251.02,Acreedores diversos a largo plazo nacional,,
2,251.03,Acreedores diversos a largo plazo extranjero,,
2,251.04,Acreedores diversos a largo plazo nacional parte relacionada,,
2,251.05,Acreedores diversos a largo plazo extranjero parte relacionada,,
2,251.06,Otros acreedores diversos a largo plazo,,
1,252,Cuentas por pagar a largo plazo,,
2,252.01,Documentos bancarios y financieros por pagar a largo plazo nacional,,
2,252.02,Documentos bancarios y financieros por pagar a largo plazo extranjero,,
2,252.03,Documentos y cuentas por pagar a largo plazo nacional,,
2,252.04,Documentos y cuentas por pagar a largo plazo extranjero,,
2,252.05,Documentos y cuentas por pagar a largo plazo nacional parte relacionada,,
2,252.06,Documentos y cuentas por pagar a largo plazo extranjero parte relacionada,,
,,,,
2,252.07,Hipotecas por pagar a largo plazo nacional,,
2,252.08,Hipotecas por pagar a largo plazo extranjero,,
2,252.09,Hipotecas por pagar a largo plazo nacional parte relacionada,,
2,252.1,Hipotecas por pagar a largo plazo extranjero parte relacionada,,
2,252.11,Intereses por pagar a largo plazo nacional,,
2,252.12,Intereses por pagar a largo plazo extranjero,,
2,252.13,Intereses por pagar a largo plazo nacional parte relacionada,,
2,252.14,Intereses por pagar a largo plazo extranjero parte relacionada,,
2,252.15,Dividendos por pagar nacionales,,
2,252.16,Dividendos por pagar extranjeros,,
2,252.17,Otras cuentas y documentos por pagar a largo plazo,,
1,253,Cobros anticipados a largo plazo,,
2,253.01,Rentas cobradas por anticipado a largo plazo nacional,,
2,253.02,Rentas cobradas por anticipado a largo plazo extranjero,,
2,253.03,Rentas cobradas por anticipado a largo plazo nacional parte relacionada,,
2,253.04,Rentas cobradas por anticipado a largo plazo extranjero parte relacionada,,
2,253.05,Intereses cobrados por anticipado a largo plazo nacional,,
2,253.06,Intereses cobrados por anticipado a largo plazo extranjero,,
2,253.07,Intereses cobrados por anticipado a largo plazo nacional parte relacionada,,
2,253.08,Intereses cobrados por anticipado a largo plazo extranjero parte relacionada,,
2,253.09,Factoraje financiero cobrados por anticipado a largo plazo nacional,,
2,253.1,Factoraje financiero cobrados por anticipado a largo plazo extranjero,,
2,253.11,Factoraje financiero cobrados por anticipado a largo plazo nacional parte relacionada,,
2,253.12,Factoraje financiero cobrados por anticipado a largo plazo extranjero parte relacionada,,
2,253.13,Arrendamiento financiero cobrados por anticipado a largo plazo nacional,,
2,253.14,Arrendamiento financiero cobrados por anticipado a largo plazo extranjero,,
2,253.15,Arrendamiento financiero cobrados por anticipado a largo plazo nacional parte relacionada,,
2,253.16,Arrendamiento financiero cobrados por anticipado a largo plazo extranjero parte relacionada,,
2,253.17,Derechos fiduciarios,,
2,253.18,Otros cobros anticipados,,
1,254,Instrumentos financieros a largo plazo,,
2,254.01,Instrumentos financieros a largo plazo,,
1,255,Pasivos por beneficios a los empleados a largo plazo,,
2,255.01,Pasivos por beneficios a los empleados a largo plazo,,
1,256,Otros pasivos a largo plazo,,
2,256.01,Otros pasivos a largo plazo,,
1,257,Participación de los trabajadores en las utilidades diferida,,
2,257.01,Participación de los trabajadores en las utilidades diferida,,
,,,,
1,258,Obligaciones contraídas de fideicomisos,,
2,258.01,Obligaciones contraídas de fideicomisos,,
1,259,Impuestos diferidos,,
2,259.01,ISR diferido,,
2,259.02,ISR por dividendo diferido,,
2,259.03,Otros impuestos diferidos,,
1,260,Pasivos diferidos,,
2,260.01,Pasivos diferidos,,
,300,Capital contable,,
1,301,Capital social,,
2,301.01,Capital fijo,,
2,301.02,Capital variable,,
2,301.03,Aportaciones para futuros aumentos de capital,,
2,301.04,Prima en suscripción de acciones,,
2,301.05,Prima en suscripción de partes sociales,,
1,302,Patrimonio,,
2,302.01,Patrimonio,,
2,302.02,Aportación patrimonial,,
2,302.03,Déficit o remanente del ejercicio,,
1,303,Reserva legal,,
2,303.01,Reserva legal,,
1,304,Resultado de ejercicios anteriores,,
2,304.01,Utilidad de ejercicios anteriores,,
2,304.02,Pérdida de ejercicios anteriores,,
2,304.03,Resultado integral de ejercicios anteriores,,
2,304.04,Déficit o remanente de ejercicio anteriores,,
1,305,Resultado del ejercicio,,
2,305.01,Utilidad del ejercicio,,
2,305.02,Pérdida del ejercicio,,
2,305.03,Resultado integral,,
1,306,Otras cuentas de capital,,
2,306.01,Otras cuentas de capital,,
,400,Ingresos,,
1,401,Ingresos,,
2,401.01,Ventas y/o servicios gravados a la tasa general,,
2,401.02,Ventas y/o servicios gravados a la tasa general de contado,,
2,401.03,Ventas y/o servicios gravados a la tasa general a crédito,,
2,401.04,Ventas y/o servicios gravados al 0%,,
,,,,
2,401.05,Ventas y/o servicios gravados al 0% de contado,,
2,401.06,Ventas y/o servicios gravados al 0% a crédito,,
2,401.07,Ventas y/o servicios exentos,,
2,401.08,Ventas y/o servicios exentos de contado,,
2,401.09,Ventas y/o servicios exentos a crédito,,
2,401.1,Ventas y/o servicios gravados a la tasa general nacionales partes relacionadas,,
2,401.11,Ventas y/o servicios gravados a la tasa general extranjeros partes relacionadas,,
2,401.12,Ventas y/o servicios gravados al 0% nacionales partes relacionadas,,
2,401.13,Ventas y/o servicios gravados al 0% extranjeros partes relacionadas,,
2,401.14,Ventas y/o servicios exentos nacionales partes relacionadas,,
2,401.15,Ventas y/o servicios exentos extranjeros partes relacionadas,,
2,401.16,Ingresos por servicios administrativos,,
2,401.17,Ingresos por servicios administrativos nacionales partes relacionadas,,
2,401.18,Ingresos por servicios administrativos extranjeros partes relacionadas,,
2,401.19,Ingresos por servicios profesionales,,
2,401.2,Ingresos por servicios profesionales nacionales partes relacionadas,,
2,401.21,Ingresos por servicios profesionales extranjeros partes relacionadas,,
2,401.22,Ingresos por arrendamiento,,
2,401.23,Ingresos por arrendamiento nacionales partes relacionadas,,
2,401.24,Ingresos por arrendamiento extranjeros partes relacionadas,,
2,401.25,Ingresos por exportación,,
2,401.26,Ingresos por comisiones,,
2,401.27,Ingresos por maquila,,
2,401.28,Ingresos por coordinados,,
2,401.29,Ingresos por regalías,,
2,401.3,Ingresos por asistencia técnica,,
2,401.31,Ingresos por donativos,,
2,401.32,Ingresos por intereses (actividad propia),,
2,401.33,Ingresos de copropiedad,,
2,401.34,Ingresos por fideicomisos,,
2,401.35,Ingresos por factoraje financiero,,
2,401.36,Ingresos por arrendamiento financiero,,
2,401.37,Ingresos de extranjeros con establecimiento en el país,,
2,401.38,Otros ingresos propios,,
1,402,"Devoluciones, descuentos o bonificaciones sobre ingresos",,
2,402.01,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios a la tasa general",,
2,402.02,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios al 0%",,
2,402.03,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios exentos",,
,,,,
2,402.04,"Devoluciones, descuentos o bonificaciones de otros ingresos",,
1,403,Otros ingresos,,
2,403.01,Otros Ingresos,,
2,403.02,Otros ingresos nacionales parte relacionada,,
2,403.03,Otros ingresos extranjeros parte relacionada,,
2,403.04,Ingresos por operaciones discontinuas,,
2,403.05,Ingresos por condonación de adeudo,,
,500,Costos,,
1,501,Costo de venta y/o servicio,,
2,501.01,Costo de venta,,
2,501.02,Costo de servicios (Mano de obra),,
2,501.03,Materia prima directa utilizada para la producción,,
2,501.04,Materia prima consumida en el proceso productivo,,
2,501.05,Mano de obra directa consumida,,
2,501.06,Mano de obra directa,,
2,501.07,Cargos indirectos de producción,,
2,501.08,Otros conceptos de costo,,
1,502,Compras,,
2,502.01,Compras nacionales,,
2,502.02,Compras nacionales parte relacionada,,
2,502.03,Compras de Importación,,
2,502.04,Compras de Importación partes relacionadas,,
1,503,"Devoluciones, descuentos o bonificaciones sobre compras",,
2,503.01,"Devoluciones, descuentos o bonificaciones sobre compras",,
1,504,Otras cuentas de costos,,
2,504.01,Gastos indirectos de fabricación,,
2,504.02,Gastos indirectos de fabricación de partes relacionadas nacionales,,
2,504.03,Gastos indirectos de fabricación de partes relacionadas extranjeras,,
2,504.04,Otras cuentas de costos incurridos,,
2,504.05,Otras cuentas de costos incurridos con partes relacionadas nacionales,,
2,504.06,Otras cuentas de costos incurridos con partes relacionadas extranjeras,,
2,504.07,Depreciación de edificios,,
2,504.08,Depreciación de maquinaria y equipo,,
2,504.09,"Depreciación de automóviles, autobuses, camiones de carga, tractocamiones, montacargas yremolques",,
2,504.1,Depreciación de mobiliario y equipo de oficina,,
2,504.11,Depreciación de equipo de cómputo,,
2,504.12,Depreciación de equipo de comunicación,,
,,,,
2,504.13,"Depreciación de activos biológicos, vegetales y semovientes",,
2,504.14,Depreciación de otros activos fijos,,
2,504.15,Depreciación de ferrocarriles,,
2,504.16,Depreciación de embarcaciones,,
2,504.17,Depreciación de aviones,,
2,504.18,"Depreciación de troqueles, moldes, matrices y herramental",,
2,504.19,Depreciación de equipo de comunicaciones telefónicas,,
2,504.2,Depreciación de equipo de comunicación satelital,,
2,504.21,Depreciación de equipo de adaptaciones para personas con capacidades diferentes,,
2,504.22,Depreciación de maquinaria y equipo de generación de energía de fuentes renovables o desistemas de cogeneración de electricidad eficiente,,
2,504.23,Depreciación de adaptaciones y mejoras,,
2,504.24,Depreciación de otra maquinaria y equipo,,
